data_time,year,product_category,district,inspection_result,shop_name,original_location,failure_reasons,updated_at
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,士林,不符合規定,台隆手創館天母店,台隆手創館天母店/臺北市士林區中山北路6段77號2樓,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,士林,不符合規定,台隆手創館天母店,台隆手創館天母店/臺北市士林區中山北路6段77號2樓,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,北投,不符合規定,亨奇食品器具行,亨奇食品器具行/臺北市北投區明德路277號,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,北投,不符合規定,亨奇食品器具行,亨奇食品器具行/臺北市北投區明德路277號,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,文山,不符合規定,文山聯股份有限公司,文山聯股份有限公司/臺北市文山區木柵路2段57號,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,文山,不符合規定,台灣卡多摩嬰童館股份有限公司木柵分公司,台灣卡多摩嬰童館股份有限公司木柵分公司/臺北市文山區木柵路2段92號,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,中山,不符合規定,潤泰創新國際股份有限公司中崙分公司,潤泰創新國際股份有限公司中崙分公司/臺北市中山區八德路2段306號地下3樓地下2樓之3,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,中山,不符合規定,幸福美滿生活館有限公司,幸福美滿生活館有限公司/臺北市中山區龍江路356號10、12號,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,中山,不符合規定,幸福美滿生活館有限公司,幸福美滿生活館有限公司/臺北市中山區龍江路356號10、12號,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,內湖,不符合規定,特力屋股份有限公司和樂內湖分公司,特力屋股份有限公司和樂內湖分公司/臺北市內湖區新湖三路23號1樓,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,大安,不符合規定,勝立生活百貨,勝立生活百貨/臺北市大安區復興南路2段291號,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,大安,不符合規定,City's Super 復興店,City's Super 復興店/臺北市大安區忠孝東路3段300號B3,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,食品容器具,大安,不符合規定,棋軒實業有限公司,棋軒實業有限公司/臺北市大安區復興南路2段292號1樓,"[""標示""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,白木耳,大安,不符合規定,正大蔘藥行,正大蔘藥行/臺北市大安區忠孝東路4段216巷51號1樓,"[""生長調節劑Chlormequat克美素0."", ""產品外包裝標示「符合國家檢驗標準」字樣""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,白木耳,松山,不符合規定,育仁藥行,育仁藥行/臺北市松山區八德路3段152號1樓,"[""生長調節劑Chlormequat 克美素0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,菊花,士林,不符合規定,德展蔘藥行,德展蔘藥行/臺北市士林區大東路113號,"[""檢出殘留農藥殺蟲劑Chlorpyrifos陶斯松0.05ppm，惟與產品所附加110年11月23日農藥殘留檢驗報告之檢驗結果「未檢出」不符；產品標示「包裝日期：2022.04.25」、「有效期限：3年」，與所附檢驗報告之「採收日期：110/11/20」、「採樣日期：110/11/12」推算明顯不符；另案內產品是否屬具啟封辨識性之包裝食品，如屬包裝食品，該產品標示已涉違反食品安全衛生管理法第22條規定""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,白木耳,士林,不符合規定,家福股份有限公司台北天母分公司,家福股份有限公司台北天母分公司/臺北市士林區德行西路47號,"[""生長調節劑Chlormequat克美素0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,白木耳,大同,不符合規定,旺泰藥材貿易股份有限公司(旺泰蔘藥公司),旺泰藥材貿易股份有限公司(旺泰蔘藥公司)/臺北市大同區迪化街1段137號,"[""殺蟎劑Propargite 毆蟎多0."", ""生長調節劑Chlormequat 克美素0."", ""外包裝標示「通過SGS檢驗無農藥殘留」、「安心使用」等字樣""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,黑棗,大同,不符合規定,龍源中藥行,龍源中藥行/臺北市大同區迪化街1段172號1樓,"[""殺菌劑2-Phenylphenol 0.06ppm（標準：不得檢出）"", ""產品外包裝標示「通過農藥殘留檢驗合格」、「合格養生食品合格安心」、「符合國家檢測標準敬請安心使用」等字樣""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,香辛植物及其他草木本植物,大安,不符合規定,遠東都會股份有限公司復興店(city’super復興店),遠東都會股份有限公司復興店(city’super復興店)/臺北市大安區忠孝東路3段300號B3,"[""殺菌劑Flutolanil福多寧1.12ppm（標準：0.01ppm以下）""]",2026-05-03T00:48:46.175674+08:00
